date,symbol,frequency,open,high,low,close,volume,amount,position
2024-10-08 00:00:00,SHFE.rb2505,1d,3800.0,3817.0,3509.0,3550.0,215013,7832364800.0,196937
2024-10-09 00:00:00,SHFE.rb2505,1d,3550.0,3589.0,3500.0,3511.0,215801,7663517952.0,208225
2024-10-10 00:00:00,SHFE.rb2505,1d,3506.0,3563.0,3460.0,3506.0,176022,6183080960.0,220294
2024-10-11 00:00:00,SHFE.rb2505,1d,3513.0,3540.0,3485.0,3529.0,122342,4298636544.0,226871
2024-10-14 00:00:00,SHFE.rb2505,1d,3525.0,3587.0,3501.0,3561.0,148572,5278429696.0,235588
2024-10-15 00:00:00,SHFE.rb2505,1d,3555.0,3571.0,3527.0,3532.0,99662,3537795728.0,241027
2024-10-16 00:00:00,SHFE.rb2505,1d,3530.0,3564.0,3507.0,3509.0,104905,3709179216.0,248501
2024-10-17 00:00:00,SHFE.rb2505,1d,3509.0,3549.0,3358.0,3360.0,168848,5842421504.0,255578
2024-10-18 00:00:00,SHFE.rb2505,1d,3382.0,3451.0,3358.0,3404.0,140934,4778952960.0,258362
2024-10-21 00:00:00,SHFE.rb2505,1d,3410.0,3443.0,3403.0,3424.0,94854,3247081776.0,263530
2024-10-22 00:00:00,SHFE.rb2505,1d,3430.0,3431.0,3363.0,3405.0,111320,3778563264.0,268898
2024-10-23 00:00:00,SHFE.rb2505,1d,3405.0,3425.0,3375.0,3382.0,111275,3782719648.0,260645
2024-10-24 00:00:00,SHFE.rb2505,1d,3376.0,3412.0,3362.0,3404.0,95425,3228327888.0,266386
2024-10-25 00:00:00,SHFE.rb2505,1d,3410.0,3456.0,3403.0,3444.0,110279,3789403072.0,270889
2024-10-28 00:00:00,SHFE.rb2505,1d,3454.0,3547.0,3444.0,3523.0,149375,5238453504.0,278655
2024-10-29 00:00:00,SHFE.rb2505,1d,3527.0,3538.0,3481.0,3490.0,98187,3445777936.0,280817
2024-10-30 00:00:00,SHFE.rb2505,1d,3502.0,3536.0,3471.0,3511.0,101531,3563657824.0,280614
2024-10-31 00:00:00,SHFE.rb2505,1d,3512.0,3522.0,3491.0,3502.0,68633,2406872944.0,282889
2024-11-01 00:00:00,SHFE.rb2505,1d,3502.0,3508.0,3457.0,3471.0,109398,3806164448.0,285472
2024-11-04 00:00:00,SHFE.rb2505,1d,3486.0,3517.0,3432.0,3500.0,159230,5522326272.0,287343
2024-11-05 00:00:00,SHFE.rb2505,1d,3500.0,3526.0,3478.0,3506.0,128867,4518922496.0,303153
2024-11-06 00:00:00,SHFE.rb2505,1d,3518.0,3518.0,3439.0,3478.0,180376,6273656576.0,296334
2024-11-07 00:00:00,SHFE.rb2505,1d,3470.0,3514.0,3449.0,3514.0,142218,4954503424.0,306912
2024-11-08 00:00:00,SHFE.rb2505,1d,3517.0,3539.0,3443.0,3453.0,205458,7175998976.0,319320
2024-11-11 00:00:00,SHFE.rb2505,1d,3440.0,3473.0,3395.0,3412.0,189102,6482069504.0,324306
2024-11-12 00:00:00,SHFE.rb2505,1d,3404.0,3427.0,3388.0,3420.0,128871,4390626304.0,332248
2024-11-13 00:00:00,SHFE.rb2505,1d,3413.0,3440.0,3399.0,3411.0,160991,5503759872.0,368391
2024-11-14 00:00:00,SHFE.rb2505,1d,3411.0,3422.0,3376.0,3383.0,172649,5865690880.0,403567
2024-11-15 00:00:00,SHFE.rb2505,1d,3380.0,3393.0,3315.0,3317.0,212370,7116418304.0,427450
2024-11-18 00:00:00,SHFE.rb2505,1d,3325.0,3367.0,3307.0,3356.0,202221,6753089536.0,434996
2024-11-19 00:00:00,SHFE.rb2505,1d,3365.0,3403.0,3333.0,3396.0,229828,7745525760.0,458641
2024-11-20 00:00:00,SHFE.rb2505,1d,3382.0,3400.0,3375.0,3387.0,144895,4908945664.0,472400
2024-11-21 00:00:00,SHFE.rb2505,1d,3390.0,3412.0,3378.0,3394.0,192204,6525005056.0,483367
2024-11-22 00:00:00,SHFE.rb2505,1d,3401.0,3405.0,3342.0,3347.0,257944,8694467328.0,501877
2024-11-25 00:00:00,SHFE.rb2505,1d,3340.0,3404.0,3340.0,3361.0,305510,10297946112.0,532065
2024-11-26 00:00:00,SHFE.rb2505,1d,3362.0,3388.0,3357.0,3363.0,250278,8439991296.0,572783
2024-11-27 00:00:00,SHFE.rb2505,1d,3373.0,3379.0,3344.0,3372.0,280964,9451335424.0,616057
2024-11-28 00:00:00,SHFE.rb2505,1d,3375.0,3382.0,3350.0,3367.0,317982,10697126656.0,680258
2024-11-29 00:00:00,SHFE.rb2505,1d,3367.0,3406.0,3360.0,3380.0,455088,15401923328.0,783700
2024-12-02 00:00:00,SHFE.rb2505,1d,3385.0,3416.0,3370.0,3407.0,516175,17523908096.0,859806
2024-12-03 00:00:00,SHFE.rb2505,1d,3407.0,3428.0,3404.0,3426.0,438803,14985676800.0,925490
2024-12-04 00:00:00,SHFE.rb2505,1d,3426.0,3427.0,3385.0,3405.0,686286,23356760320.0,987361
2024-12-05 00:00:00,SHFE.rb2505,1d,3405.0,3418.0,3331.0,3341.0,1105790,37274324480.0,1148369
2024-12-06 00:00:00,SHFE.rb2505,1d,3340.0,3350.0,3308.0,3311.0,1524215,50741553664.0,1334694
2024-12-09 00:00:00,SHFE.rb2505,1d,3305.0,3347.0,3288.0,3330.0,1721667,57144269824.0,1360587
2024-12-10 00:00:00,SHFE.rb2505,1d,3390.0,3457.0,3385.0,3402.0,3030547,103596748800.0,1333488
2024-12-11 00:00:00,SHFE.rb2505,1d,3402.0,3423.0,3395.0,3413.0,1233061,42029628160.0,1366184
2024-12-12 00:00:00,SHFE.rb2505,1d,3413.0,3436.0,3402.0,3428.0,1334907,45646348032.0,1434412
